@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2019/01/23 12:03:04:288',1,1.350887,-0.090952,0.444187,0.107757,-0.161763,0.01837,0.160949,0.046601,-0.065446,0.117643,0.313354,0.125117,0.231217,215.332031,0.081273,0.766452,1
2,'2019/01/23 12:03:04:304',1,1.308222,0.372211,0.245608,0.067132,0.033534,-0.111882,0.029091,0.052117,0.030734,0.222727,0.419269,0.114038,0.205912,215.332031,0.024063,0.170388,1
3,'2019/01/23 12:03:04:321',1,1.061926,0.254557,0.22516,-0.017744,0.100848,0.100202,0.034495,0.149158,0.132732,0.235929,0.28602,0.209431,0.327202,301.464844,0.012989,0.084338,1
4,'2019/01/23 12:03:04:337',1,0.92263,0.398034,0.498641,0.018244,-0.088586,0.127587,-0.014314,0.205622,0.244836,0.185121,0.411836,0.250664,0.250351,301.464844,0.011097,0.0784,1
5,'2019/01/23 12:03:04:354',1,0.745514,0.23338,0.324508,-0.048467,0.261113,0.234827,0.253653,0.270077,0.110972,0.042899,0.323245,0.272377,0.30184,689.0625,0.008865,0.028132,1
6,'2019/01/23 12:03:04:372',1,0.881815,0.44872,0.369173,0.032656,0.185156,0.18108,-0.00344,0.100584,0.196876,0.278429,0.371589,0.119985,0.228966,215.332031,0.009133,0.032486,1
7,'2019/01/23 12:03:04:388',1,0.72353,0.380016,0.4397,0.159294,0.254323,0.159475,0.179834,0.215774,0.128536,0.175116,0.290451,0.194345,0.188278,129.199219,0.007225,0.025721,1
8,'2019/01/23 12:03:04:404',1,0.850675,0.323424,0.377523,0.217915,0.309717,0.15445,0.151147,0.217919,0.150537,0.139042,0.382701,0.124167,0.192939,86.132813,0.008976,0.029766,1
9,'2019/01/23 12:03:04:421',1,0.738963,0.389376,0.435483,0.17408,0.126543,0.04047,-0.030004,0.185251,0.223164,0.206431,0.398616,0.251298,0.259957,215.332031,0.007816,0.027911,1
10,'2019/01/23 12:03:04:438',1,0.781538,0.278261,0.182304,0.119198,0.073774,-0.001246,0.129306,0.247796,0.225727,0.258853,0.455065,0.174476,0.223517,258.398438,0.007902,0.024996,1
11,'2019/01/23 12:03:04:454',1,0.617939,0.093391,0.329503,0.103476,0.172876,0.165033,0.162083,0.281718,0.255467,0.114943,0.249116,0.216216,0.296739,215.332031,0.007636,0.024795,1
12,'2019/01/23 12:03:04:472',1,0.654186,0.020851,0.310807,0.016182,0.229231,0.303144,0.256759,0.16573,0.237281,0.297406,0.415204,0.25824,0.194814,301.464844,0.006947,0.02488,1
13,'2019/01/23 12:03:04:488',1,0.750343,0.091652,0.470281,0.018942,0.072099,0.149303,0.286447,0.297283,0.245906,0.117449,0.294303,0.189221,0.258516,344.53125,0.006801,0.025225,1
14,'2019/01/23 12:03:04:505',1,0.877267,0.295433,0.52326,0.023741,0.079386,0.265217,0.159892,0.154592,0.2547,0.283858,0.165568,0.1783,0.276427,215.332031,0.005913,0.022841,1
15,'2019/01/23 12:03:04:521',1,0.791697,0.054855,0.363866,0.055733,0.140941,0.208852,0.069146,0.126802,0.195171,0.203325,0.362825,0.153044,0.32877,215.332031,0.006149,0.025801,1
16,'2019/01/23 12:03:04:538',1,0.741477,0.078658,0.53392,0.140386,0.178629,0.37001,0.322623,0.411145,0.237346,0.074399,0.134359,0.089215,0.306507,86.132813,0.005751,0.020685,1
17,'2019/01/23 12:03:04:555',1,0.807749,0.339742,0.517559,0.163493,0.181696,0.13154,-0.005022,0.244046,0.291231,0.141743,0.300923,0.073933,0.296807,215.332031,0.006129,0.022057,1
18,'2019/01/23 12:03:04:571',1,0.723732,0.157792,0.390525,0.149122,0.300635,0.326101,0.095424,0.039621,0.163195,0.327748,0.385388,0.120914,0.242711,215.332031,0.00529,0.019795,1
19,'2019/01/23 12:03:04:588',1,0.788788,0.182861,0.495371,0.223025,0.326259,0.245235,0.077018,0.106081,0.179482,0.07061,0.405656,0.138064,0.145361,172.265625,0.005744,0.02354,1
20,'2019/01/23 12:03:04:605',1,0.799108,0.101136,0.457005,0.109881,0.211136,0.275645,0.167305,0.148254,0.104179,0.178446,0.32618,0.260498,0.262296,215.332031,0.006213,0.020973,1
21,'2019/01/23 12:03:04:621',1,0.890404,0.175689,0.407764,0.151644,0.238774,0.138622,0.078899,0.238496,0.231941,0.182758,0.292024,0.170753,0.153494,172.265625,0.005521,0.019456,1
22,'2019/01/23 12:03:04:638',1,0.761625,0.305415,0.55442,0.008061,0.132958,0.229756,0.065702,0.099275,0.209607,0.182252,0.231173,0.19407,0.322059,172.265625,0.00563,0.021269,1
23,'2019/01/23 12:03:04:655',1,0.733391,0.006386,0.329582,0.122321,0.146639,0.143299,0.164415,0.143648,-0.076834,0.122761,0.357839,0.228512,0.361819,215.332031,0.005029,0.02098,1
24,'2019/01/23 12:03:04:671',1,0.819592,0.14656,0.421768,0.090688,0.343323,0.331306,0.280022,0.180831,0.166377,0.238457,0.235655,0.068958,0.183008,129.199219,0.004948,0.028408,1
25,'2019/01/23 12:03:04:689',1,0.846933,0.25954,0.554011,0.022084,0.086186,0.091544,0.196264,0.302425,0.199706,0.053254,0.301031,0.2535,0.206429,215.332031,0.005594,0.020874,1
